yrsurv,WEIGHT_L,WEIGHT_A,GEMHHINC,knowent,opport,suskill,fearfail,equalinc,nbgoodc,nbstatus,nbmedia,futsup,discent,exbuscon,exreason,busang,bafund,barel,gender,age9c,hhsize,ushhinc,usreduc,ESTBBUSO,TEAJOBGR,EB_JOBGR,EB_OWNER,TEAOWNER,IPACTLD_ALL,Region,race,TEA,TEANEC,TEAOPP,TEAJOBNOW,EB_JOBNOW,TEACOMPET,EB_COMPET,TEANEWPR,EB_NEWPR,TEANEWTEC,EB_NEWTEC,TEAEXPORT,EB_EXPORT
2011,,1.34646185,33,0,1,0,1,,,,,0,0,,,0,,,2,7,1,3,3,0,,,,,0,8,1,0,0,0,,,,,,,,,,
2011,.8475665269,.8807388849,68100,0,0,1,1,,,,,0,0,,,0,,,2,4,5,7,3,0,,,,,0,9,1,0,0,0,,,,,,,,,,
2011,.3081871682,.3202491064,33,0,1,1,0,,,,,0,0,,,0,,,1,6,7,1,-2,0,,,,,0,2,-2,0,0,0,,,,,,,,,,
2011,,.7386178966,3467,0,0,0,0,,,,,0,0,,,0,,,2,7,1,5,6,0,,,,,0,9,1,0,0,0,,,,,,,,,,
2011,1.031388545,1.071755394,3467,0,0,0,0,,,,,0,0,,,0,,,2,4,4,4,3,0,,,,,0,4,1,0,0,0,,,,,,,,,,
2011,1.878901419,1.952438526,68100,0,0,0,1,,,,,0,0,,,0,,,1,4,4,6,6,0,,,,,1,6,-2,0,0,0,,,,,,,,,,
2011,.7434636278,.7725615698,33,0,1,0,0,,,,,0,0,,,0,,,1,2,4,3,5,0,,,,,0,9,-2,0,0,0,,,,,,,,,,
2011,,.8378136458,33,0,0,0,-1,,,,,0,0,,,0,,,1,7,2,3,3,0,,,,,0,5,1,0,0,0,,,,,,,,,,
2011,.9767634994,1.014992414,33,0,0,0,0,,,,,0,0,,,0,,,1,6,2,1,1,0,,,,,0,4,1,0,0,0,,,,,,,,,,
2011,.6180377061,.6422266841,3467,0,-1,0,1,,,,,0,0,,,0,,,2,2,5,4,3,0,,,,,0,2,-2,0,0,0,,,,,,,,,,
2011,1.351158875,1.404041008,3467,0,0,0,0,,,,,0,0,,,0,,,1,3,3,5,3,0,,,,,0,3,1,0,0,0,,,,,,,,,,
2011,.3081871682,.3202491064,-2,0,-1,0,1,,,,,0,0,,,0,,,1,6,2,-1,3,0,,,,,0,2,-2,0,0,0,,,,,,,,,,
2011,.9767634994,1.014992414,3467,1,1,-1,0,,,,,1,-1,,,0,,,1,6,4,4,4,0,,,,,0,4,-2,0,0,0,,,,,,,,,,
2011,1.244369692,1.293072272,3467,0,0,1,1,,,,,0,0,,,0,,,1,6,2,5,4,1,,0,1,,0,7,1,0,0,0,,2,,1,,1,,3,,5
2011,.9716769637,1.0097068,3467,0,0,0,1,,,,,0,0,,,0,,,2,5,2,4,5,0,,,,,0,4,1,0,0,0,,,,,,,,,,
2011,1.834477925,1.90627637,-2,0,0,-1,0,,,,,0,0,,,0,,,2,2,1,-2,-2,0,,,,,0,1,-2,0,0,0,,,,,,,,,,
2011,,.7467723918,33,0,0,1,0,,,,,0,0,,,0,,,2,7,1,1,1,0,,,,,0,5,1,0,0,0,,,,,,,,,,
2011,1.31529609,1.366774613,3467,0,1,1,1,,,,,1,0,,,0,,,1,4,4,4,3,0,2,,,1,0,4,-2,1,1,0,,,1,,3,,3,,1,
2011,1.67393752,1.739452678,68100,0,1,1,-1,,,,,0,0,,,0,,,2,3,4,7,5,0,,,,,0,6,1,0,0,0,,,,,,,,,,
2011,1.610530642,1.673564159,68100,1,0,1,1,,,,,0,0,,,0,,,1,3,5,7,4,1,,-20,2,,0,4,-2,0,0,0,,24,,1,,2,,3,,6
2011,1.392473269,1.446972379,3467,0,0,0,0,,,,,0,0,,,0,,,1,2,2,4,4,0,,,,,0,3,1,0,0,0,,,,,,,,,,
2011,,.3533597191,-2,0,0,0,0,,,,,0,0,,,0,,,2,7,1,-1,2,0,,,,,0,2,1,0,0,0,,,,,,,,,,
2011,,.7467723918,3467,0,1,1,0,,,,,0,0,,,0,,,2,7,1,4,6,0,,,,,0,5,-2,0,0,0,,,,,,,,,,
2011,.8124603215,.8442586804,33,0,0,1,1,,,,,0,0,,,0,,,1,4,1,1,2,0,,,,,0,5,1,0,0,0,,,,,,,,,,
2011,.9716769637,1.0097068,3467,0,0,1,1,,,,,0,1,2,2,0,,,2,5,2,4,2,0,,,,,0,4,1,0,0,0,,,,,,,,,,
2011,1.278049487,1.328070239,3467,1,1,1,0,,,,,0,1,2,2,0,,,1,6,1,5,6,0,10,,,1,1,3,-2,1,0,1,,,2,,1,,1,,6,
